c13,o18,time
27.6929645508275,28.6840591897558,1743.25
27.5504056372726,28.5558511274267,1743.42
27.967942403078,29.0820361009606,1743.58
27.5681250174506,28.8256809655804,1743.75
27.247290718,28.8074760926949,1743.92
25.3715539926067,25.9667229348986,1744.05
25.0024912625136,25.42437386794,1744.05
25.0436891476709,25.1775978855062,1744.15
25.5530862265047,26.5222465484813,1744.15
25.27849830628,25.1951165762919,1744.15
25.3528293129405,25.4221657090398,1744.25
25.4037263159281,26.2159414405568,1744.35
25.2765315299506,25.429579514608,1744.45
25.4413889854873,25.7727038363551,1744.55
25.5999070646145,26.3799543787607,1744.55
25.3815154117265,25.7967721201063,1744.65
25.3327556709355,25.1733316244714,1744.75
25.5991368795318,26.1107704571575,1744.75
25.3983009006784,25.9082515080579,1744.85
25.0548730671387,25.5358203481971,1744.85
25.4830281558222,26.8102367669694,1744.95
26.4290751459231,26.2358613393047,1745.07
26.4428739837115,26.0011833568317,1745.07
26.7610360267929,26.6690414260683,1745.07
26.5542705366972,26.2333494624852,1745.21
26.344350195382,25.6190307908824,1745.21
26.6597853531505,26.8840718652955,1745.21
26.6315400038864,26.4142570241026,1745.36
26.4389355800191,26.014530251718,1745.36
26.6310074829952,26.6975136023032,1745.36
26.4970280561943,26.0697838840226,1745.36
26.5235602644676,26.3969027436556,1745.5
26.4917796583205,26.468861803422,1745.5
26.6412111552082,26.2262135272748,1745.5
26.4389033108637,27.0739574842706,1745.64
26.1446755443051,26.1510391427944,1745.79
26.4346009051787,27.3989083045743,1745.79
26.2567557447159,26.1531391495881,1745.79
26.2629237580672,26.7382586949805,1745.79
26.5261566732958,26.2245530716804,1745.93
26.4344362258601,26.2980188429511,1745.93
26.7606985650979,27.3213054130509,1745.93
26.1809567758726,25.2994735695884,1745.93
26.6080791220273,26.741599832903,1746.06
26.6700518102459,26.753366916108,1746.06
26.3955027147586,25.6331286368719,1746.17
26.8104387734651,26.5967609072079,1746.28
26.7489575283939,26.38349126443,1746.28
26.3510950356207,26.3711142812631,1746.39
26.2545700314404,26.6133716811002,1746.39
26.4793963643729,27.1890333893181,1746.39
26.1208255773967,26.1727354883172,1746.5
26.1551521596927,26.6770540974349,1746.5
26.707383237585,28.190615306983,1746.61
26.604718865639,27.5210830450856,1746.72
26.6316485103029,27.9838353303883,1746.72
26.9486108048947,28.3290465602606,1746.72
26.7764363804201,27.7420141507504,1746.72
27.0465577645485,28.4979895631732,1746.83
26.9802704131339,28.2940495952613,1746.94
26.8184270821121,27.4251263918453,1746.94
27.0602814233573,28.4496551875809,1746.94
26.6240284308562,27.5750923197561,1746.94
26.9213888128515,28.4517303745449,1746.94
26.9620874202218,27.9677010903443,1746.94
27.1561593188583,28.6201535801529,1746.94
27.2717559728477,26.42522018337,1747.08
27.5469956991808,27.00427196115,1747.08
27.7372751272961,27.1415264763358,1747.25
